date,end,open,high,low,plusminus
2016-12-02,"1,172.89","1,172.70","1,176.63","1,156.80",0.48%
2016-12-09,"1,186.58","1,172.91","1,189.38","1,162.36",1.17%
2016-12-16,"1,200.36","1,186.44","1,207.76","1,183.71",1.16%
2016-12-23,"1,207.26","1,200.36","1,215.11","1,198.05",0.57%
2016-12-30,"1,202.00","1,206.85","1,212.80","1,180.19",-0.44%
2017-01-06,"1,175.00","1,202.00","1,209.60","1,171.30",-2.25%
2017-01-13,"1,175.39","1,175.06","1,188.11","1,160.15",0.03%
2017-01-20,"1,178.82","1,175.35","1,180.93","1,156.30",0.29%
2017-01-27,"1,138.52","1,178.40","1,179.43","1,134.16",-3.42%
2017-02-03,"1,146.60","1,138.37","1,155.40","1,131.11",0.71%
2017-02-10,"1,150.78","1,146.60","1,155.40","1,133.19",0.36%
2017-02-17,"1,130.50","1,150.11","1,151.06","1,127.40",-1.76%
2017-02-24,"1,152.32","1,130.51","1,159.85","1,124.57",1.93%
2017-03-03,"1,148.81","1,152.41","1,162.03","1,143.27",-0.30%
2017-03-10,"1,129.04","1,148.72","1,152.61","1,125.86",-1.72%
2017-03-17,"1,117.56","1,129.05","1,131.31","1,112.59",-1.02%
2017-03-24,"1,117.65","1,117.14","1,122.68","1,106.64",0.01%
2017-03-31,"1,137.89","1,116.90","1,140.81","1,112.27",1.81%
2017-04-07,"1,136.45","1,137.92","1,150.61","1,126.19",-0.13%
2017-04-14,"1,134.57","1,136.33","1,148.82","1,131.41",-0.17%
2017-04-21,"1,137.88","1,134.71","1,141.36","1,121.90",0.29%
2017-04-28,"1,135.71","1,137.74","1,142.13","1,127.15",-0.19%
2017-05-05,"1,123.41","1,135.15","1,140.73","1,121.99",-1.08%
2017-05-12,"1,117.62","1,123.37","1,134.39","1,113.95",-0.52%
2017-05-19,"1,118.84","1,118.15","1,128.81","1,114.48",0.11%
2017-05-26,"1,118.39","1,119.05","1,126.90","1,117.57",-0.04%
2017-06-02,"1,125.30","1,118.36","1,128.01","1,115.49",0.62%
2017-06-09,"1,133.08","1,125.36","1,139.01","1,116.30",0.69%
2017-06-16,"1,134.89","1,132.56","1,145.46","1,129.01",0.16%
2017-06-23,"1,145.43","1,134.65","1,149.31","1,132.11",0.93%
2017-06-30,"1,153.74","1,145.60","1,158.75","1,141.56",0.73%
2017-07-07,"1,129.10","1,153.81","1,154.91","1,126.69",-2.14%
2017-07-14,"1,118.84","1,129.01","1,131.01","1,116.80",-0.91%
2017-07-21,"1,124.69","1,118.90","1,126.12","1,110.90",0.52%
2017-07-28,"1,128.78","1,124.31","1,130.81","1,115.61",0.36%
2017-08-04,"1,142.86","1,128.65","1,149.00","1,123.90",1.25%
2017-08-11,"1,139.78","1,142.90","1,145.01","1,133.28",-0.27%
2017-08-18,"1,121.60","1,139.76","1,140.70","1,120.41",-1.60%
2017-08-25,"1,121.69","1,121.90","1,129.61","1,118.19",0.01%
2017-09-01,"1,131.97","1,121.71","1,137.31","1,119.46",0.92%
2017-09-08,"1,133.21","1,132.06","1,137.40","1,125.81",0.11%
2017-09-15,"1,133.13","1,133.76","1,140.51","1,125.58",-0.01%
2017-09-22,"1,145.30","1,132.91","1,151.65","1,129.43",1.07%
2017-09-29,"1,145.32","1,145.13","1,149.88","1,137.34",0.00%
2017-10-06,"1,126.67","1,145.50","1,146.10","1,124.84",-1.63%
2017-10-13,"1,132.31","1,127.00","1,134.80","1,125.80",0.50%
2017-10-20,"1,125.97","1,132.19","1,135.70","1,121.92",-0.56%
2017-10-27,"1,116.29","1,125.98","1,127.60","1,109.34",-0.86%
2017-11-03,"1,120.96","1,115.99","1,121.63","1,110.88",0.42%
2017-11-10,"1,094.32","1,119.60","1,122.80","1,093.45",-2.38%
2017-11-17,"1,085.62","1,094.33","1,102.31","1,083.45",-0.80%
2017-11-24,"1,083.47","1,085.62","1,092.26","1,074.71",-0.20%
2017-12-01,"1,092.85","1,083.44","1,097.27","1,082.23",0.87%
2017-12-08,"1,088.95","1,092.86","1,095.31","1,083.76",-0.36%
2017-12-15,"1,077.74","1,088.96","1,092.20","1,076.15",-1.03%
2017-12-22,"1,067.38","1,077.72","1,080.39","1,063.94",-0.96%
2017-12-29,"1,062.09","1,066.93","1,068.86","1,059.53",-0.50%
2018-01-05,"1,059.99","1,062.21","1,074.20","1,059.44",-0.20%
2018-01-12,"1,067.66","1,056.20","1,072.06","1,055.22",0.72%
2018-01-19,"1,064.67","1,067.66","1,078.20","1,056.39",-0.28%
2018-01-26,"1,089.95","1,064.09","1,090.58","1,062.09",2.37%
2018-02-02,"1,085.67","1,089.95","1,099.40","1,078.72",-0.39%
2018-02-09,"1,067.19","1,084.62","1,087.58","1,061.86",-1.70%
2018-02-16,"1,077.00","1,066.60","1,086.40","1,065.75",0.92%
2018-02-23,"1,079.69","1,076.99","1,088.58","1,068.81",0.25%
2018-03-02,"1,065.38","1,079.58","1,083.49","1,060.47",-1.33%
2018-03-09,"1,070.53","1,065.19","1,072.60","1,061.61",0.48%
2018-03-16,"1,083.87","1,070.53","1,086.53","1,064.41",1.25%
2018-03-23,"1,061.26","1,084.31","1,084.56","1,060.80",-2.09%
2018-03-30,"1,070.76","1,060.57","1,072.78","1,053.01",0.90%
2018-04-06,"1,071.68","1,070.80","1,074.00","1,063.90",0.09%
2018-04-13,"1,071.10","1,071.68","1,076.00","1,059.73",-0.05%
2018-04-20,"1,067.86","1,071.33","1,085.42","1,067.21",-0.30%
2018-04-27,"1,074.11","1,067.39","1,080.36","1,065.88",0.59%
2018-05-04,"1,067.98","1,074.54","1,083.83","1,064.42",-0.57%
2018-05-11,"1,081.37","1,067.78","1,086.30","1,064.77",1.25%
2018-05-18,"1,078.38","1,081.30","1,087.67","1,073.41",-0.28%
2018-05-25,"1,071.88","1,078.51","1,086.44","1,071.31",-0.60%
2018-06-01,"1,074.93","1,072.10","1,078.85","1,065.95",0.28%
2018-06-08,"1,103.42","1,075.00","1,104.70","1,072.12",2.65%
2018-06-15,"1,112.00","1,102.79","1,117.45","1,100.80",0.78%
2018-06-22,"1,115.04","1,112.03","1,126.30","1,110.52",0.27%
2018-06-29,"1,115.52","1,114.84","1,125.22","1,112.39",0.04%
2018-07-06,"1,130.14","1,115.58","1,135.12","1,109.74",1.31%
2018-07-13,"1,127.90","1,130.00","1,141.40","1,122.65",-0.20%
2018-07-20,"1,115.89","1,128.26","1,138.55","1,114.87",-1.06%
2018-07-27,"1,123.34","1,115.80","1,131.98","1,110.60",0.67%
2018-08-03,"1,130.17","1,123.20","1,133.00","1,116.50",0.61%
2018-08-10,"1,119.69","1,129.17","1,138.24","1,117.58",-0.93%
2018-08-17,"1,114.51","1,118.58","1,126.74","1,112.17",-0.46%
2018-08-24,"1,115.63","1,113.67","1,118.45","1,103.67",0.10%
2018-08-31,"1,128.57","1,115.65","1,129.18","1,109.56",1.16%
2018-09-07,"1,121.66","1,128.30","1,131.84","1,116.40",-0.61%
2018-09-14,"1,114.95","1,122.00","1,131.10","1,113.10",-0.60%
2018-09-21,"1,110.15","1,114.47","1,121.14","1,106.82",-0.43%
2018-09-28,"1,132.13","1,110.00","1,134.57","1,109.10",1.98%
2018-10-05,"1,131.30","1,131.84","1,147.26","1,129.80",-0.07%
2018-10-12,"1,132.15","1,131.50","1,140.89","1,122.20",0.08%
2018-10-19,"1,140.28","1,131.70","1,145.70","1,127.80",0.72%
2018-10-26,"1,118.10","1,141.10","1,145.10","1,111.20",-1.95%
2018-11-02,"1,130.69","1,118.33","1,132.70","1,114.44",1.13%
2018-11-09,"1,121.40","1,130.60","1,141.67","1,119.50",-0.82%
2018-11-16,"1,133.50","1,121.58","1,134.71","1,121.40",1.08%
2018-11-23,"1,120.44","1,133.50","1,134.50","1,116.60",-1.15%
2018-11-30,"1,124.85","1,120.56","1,126.50","1,104.70",0.39%
2018-12-07,"1,132.70","1,124.89","1,135.89","1,121.39",0.70%
2018-12-14,"1,129.04","1,132.38","1,133.80","1,119.89",-0.32%
2018-12-21,"1,117.05","1,129.00","1,129.71","1,113.80",-1.06%
2018-12-28,"1,116.85","1,117.05","1,131.05","1,110.80",-0.02%
2019-01-04,"1,118.23","1,116.10","1,126.90","1,113.30",0.12%
2019-01-11,"1,126.08","1,118.53","1,126.64","1,118.30",0.70%
2019-01-18,"1,118.78","1,126.06","1,134.40","1,117.30",-0.65%
2019-01-25,"1,119.40","1,118.51","1,122.50","1,109.40",0.06%
2019-02-01,"1,124.50","1,119.00","1,127.92","1,116.80",0.46%
2019-02-08,"1,126.44","1,124.05","1,130.87","1,119.90",0.17%
2019-02-15,"1,122.99","1,126.14","1,129.52","1,120.80",-0.31%
2019-02-22,"1,127.67","1,123.31","1,128.22","1,114.64",0.42%
2019-03-01,"1,133.90","1,127.66","1,138.03","1,123.75",0.55%
2019-03-08,"1,135.70","1,134.10","1,140.31","1,127.40",0.16%
2019-03-15,"1,136.11","1,135.05","1,138.74","1,123.70",0.04%
2019-03-22,"1,137.40","1,136.12","1,140.72","1,131.20",0.11%
2019-03-29,"1,137.69","1,137.02","1,139.13","1,131.42",0.03%
2019-04-05,"1,134.72","1,138.00","1,147.12","1,132.70",-0.26%
2019-04-12,"1,136.58","1,134.72","1,139.01","1,131.80",0.16%
